sprite,category,family,race,class,variant
angel_blue,monster,angel,,,blue
angel_brown,monster,angel,,,brown
angel_grey,monster,angel,,,grey
angel_grey2,monster,angel,,,grey
angel_orange,monster,angel,,,orange
angel_purple,monster,angel,,,purple
angel_red,monster,angel,,,red
angel_silver,monster,angel,,,silver
ant_black,monster,ant,,,black
ant_blue,monster,ant,,,blue
ant_brown,monster,ant,,,brown
ant_grey,monster,ant,,,grey
ant_orange,monster,ant,,,orange
ant_pink,monster,ant,,,pink
ant_red,monster,ant,,,red
ant_red2,monster,ant,,,red
ant_white,monster,ant,,,white
barbarian_fighter,character,barbarian,barbarian,barbarian,
barbarian_fighter2,character,barbarian,barbarian,barbarian,
barbarian_fighter3,character,barbarian,barbarian,barbarian,
barbarian_fighter4,character,barbarian,barbarian,barbarian,
barbarian_mage,character,barbarian,barbarian,barbarian,
barbarian_priest,character,barbarian,barbarian,barbarian,
basilisk_brown,monster,basilisk,,,brown
basilisk_green,monster,basilisk,,,green
basilisk_red,monster,basilisk,,,red
basilisk_silver,monster,basilisk,,,silver
bat_blue_tail,monster,bat,,,blue
bat_brown,monster,bat,,,brown
bat_grey,monster,bat,,,grey
bat_red_tail,monster,bat,,,red
bat_silver,monster,bat,,,silver
beetle_blue,monster,beetle,,,blue
beetle_brown,monster,beetle,,,brown
beetle_brown_stiped,monster,beetle,,,brown
beetle_grey_red,monster,beetle,,,grey_red
beetle_pink,monster,beetle,,,pink
beetle_red,monster,beetle,,,red
beetle_warrior,monster,beetle,,warrior,
beetle_white,monster,beetle,,,white
beetle_yellow,monster,beetle,,,yellow
black_bear,monster,black,,,black
brown_bear,monster,brown,,,brown
bug_blue,monster,bug,,,blue
bug_brown,monster,bug,,,brown
bug_green,monster,bug,,,green
bug_grey,monster,bug,,,grey
bug_long,monster,bug,,,
bug_red,monster,bug,,,red
bug_white,monster,bug,,,white
centipede_blue,monster,centipede,,,blue
centipede_blue_tentacles,monster,centipede,,,blue
centipede_brown,monster,centipede,,,brown
centipede_green_dark,monster,centipede,,,green_dark
centipede_green_tentacles,monster,centipede,,,green
centipede_green_tentacles2,monster,centipede,,,green
centipede_grey,monster,centipede,,,grey
centipede_pink,monster,centipede,,,pink
centipede_red,monster,centipede,,,red
centipede_red_tentacles,monster,centipede,,,red
centipede_silver,monster,centipede,,,silver
chicken1,monster,chicken,,,
chicken2,monster,chicken,,,
cow_left,monster,cow,,,
cow_right,monster,cow,,,
crawler_blue,monster,crawler,,,blue
crawler_blue_light,monster,crawler,,,blue_light
crawler_green,monster,crawler,,,green
crawler_grey,monster,crawler,,,grey
crawler_orange,monster,crawler,,,orange
crawler_red,monster,crawler,,,red
crawler_silver,monster,crawler,,,silver
crawler_white,monster,crawler,,,white
cube_gelatinous,monster,cube,,,
cyclops4_armed,monster,cyclops,,,
cyclops_fighter,monster,cyclops,,fighter,
cyclops_fighter2,monster,cyclops,,fighter,
cyclops_fighter3,monster,cyclops,,fighter,
cyclops_mage,monster,cyclops,,mage,
cyclops_mage2,monster,cyclops,,mage,
cyclops_priest,monster,cyclops,,priest,
demon_major_fighter,monster,demon,,fighter,
demon_major_fighter2,monster,demon,,fighter,
demon_major_fighter3,monster,demon,,fighter,
demon_major_lord,monster,demon,,,
demon_major_mage,monster,demon,,mage,
demon_major_priest,monster,demon,,priest,
demon_minor_fighter,monster,demon,,fighter,
demon_minor_fighter2,monster,demon,,fighter,
demon_minor_fighter3,monster,demon,,fighter,
demon_minor_fighter4,monster,demon,,fighter,
demon_minor_mage,monster,demon,,mage,
demon_minor_priest,monster,demon,,priest,
dinosaur_beast_brown,monster,dinosaur,,,brown
dinosaur_beast_brown2,monster,dinosaur,,,brown
dinosaur_beast_brown_light,monster,dinosaur,,,brown_light
dinosaur_beast_giant_brown,monster,dinosaur,,,brown
dinosaur_beast_giant_green,monster,dinosaur,,,green
dinosaur_beast_giant_grey,monster,dinosaur,,,grey
dinosaur_beast_giant_pink,monster,dinosaur,,,pink
dinosaur_beast_giant_red,monster,dinosaur,,,red
dinosaur_beast_giant_silver,monster,dinosaur,,,silver
dinosaur_beast_giant_yellow,monster,dinosaur,,,yellow
dinosaur_beast_grey,monster,dinosaur,,,grey
dinosaur_beast_pink,monster,dinosaur,,,pink
dinosaur_beast_red,monster,dinosaur,,,red
dinosaur_beast_red2,monster,dinosaur,,,red
dinosaur_beast_small_green,monster,dinosaur,,,green
dinosaur_beast_small_pink,monster,dinosaur,,,pink
dinosaur_beast_small_silver,monster,dinosaur,,,silver
dinosaur_beast_small_yellow,monster,dinosaur,,,yellow
dog_brown,monster,dog,,,brown
dog_dark_grey,monster,dog,,,dark_grey
dog_grey,monster,dog,,,grey
dog_orange,monster,dog,,,orange
dog_pink,monster,dog,,,pink
dog_white,monster,dog,,,white
dragon3_headed,monster,dragon,,,
dragon_adult_black,monster,dragon,,,black
dragon_adult_blue,monster,dragon,,,blue
dragon_adult_bronze,monster,dragon,,,bronze
dragon_adult_gold,monster,dragon,,,gold
dragon_adult_green,monster,dragon,,,green
dragon_adult_rainbow,monster,dragon,,,rainbow
dragon_adult_red,monster,dragon,,,red
dragon_adult_silver,monster,dragon,,,silver
dragon_ancient_black,monster,dragon,,,black
dragon_ancient_blue,monster,dragon,,,blue
dragon_ancient_blue_white,monster,dragon,,,blue_white
dragon_ancient_bronze,monster,dragon,,,bronze
dragon_ancient_gold,monster,dragon,,,gold
dragon_ancient_gold_white,monster,dragon,,,gold_white
dragon_ancient_green,monster,dragon,,,green
dragon_ancient_green_grey,monster,dragon,,,green_grey
dragon_ancient_lord_black,monster,dragon,,,black
dragon_ancient_lord_black_red,monster,dragon,,,black_red
dragon_ancient_lord_blue,monster,dragon,,,blue
dragon_ancient_lord_bronze,monster,dragon,,,bronze
dragon_ancient_lord_green,monster,dragon,,,green
dragon_ancient_lord_red,monster,dragon,,,red
dragon_ancient_lord_silver,monster,dragon,,,silver
dragon_ancient_lord_silver_red,monster,dragon,,,silver_red
dragon_ancient_purple_blue,monster,dragon,,,purple_blue
dragon_ancient_rainbow,monster,dragon,,,rainbow
dragon_ancient_red,monster,dragon,,,red
dragon_ancient_silver,monster,dragon,,,silver
dragon_ancient_white_gold,monster,dragon,,,white_gold
dragon_baby_black,monster,dragon,,,black
dragon_baby_blue,monster,dragon,,,blue
dragon_baby_bronze,monster,dragon,,,bronze
dragon_baby_gold,monster,dragon,,,gold
dragon_baby_green,monster,dragon,,,green
dragon_baby_rainbow,monster,dragon,,,rainbow
dragon_baby_red,monster,dragon,,,red
dragon_baby_silver,monster,dragon,,,silver
dragon_fly_black,monster,dragon,,,black
dragon_fly_green,monster,dragon,,,green
dragon_fly_orange,monster,dragon,,,orange
dragon_fly_pink,monster,dragon,,,pink
dragon_fly_white,monster,dragon,,,white
dragon_giant_bone,monster,dragon,,,
dragon_giant_bone_blue,monster,dragon,,,blue
dragon_giant_bone_green,monster,dragon,,,green
dragon_giant_bone_grey,monster,dragon,,,grey
dragon_giant_bone_grey_blue,monster,dragon,,,grey_blue
dragon_giant_bone_grey_green,monster,dragon,,,grey_green
